link_key,observed,true_count,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20
"(2, 43, '0')",1,2642.0,1580.1,1596.0,1596.5,1616.6,1633.5,1644.0,1663.7,1645.2,1632.3,1618.2,1652.1,1570.2,1621.6,1722.9,1835.0,1836.6,2068.3,1701.8,1799.9,1856.8
"(99, 43, '0')",1,2981.0,3997.1,3975.8,3971.3,3946.8,3923.0,3932.4,3923.8,3946.9,3956.8,3969.0,3930.7,3540.4,3450.3,3304.2,3591.3,3159.0,2584.5,3177.3,2989.9,2834.9
"(369, 164, '0')",1,1840.0,406.9,389.9,401.2,401.7,402.4,414.4,421.8,430.4,432.3,434.8,421.5,495.1,517.7,511.7,513.9,479.5,457.1,401.4,374.0,376.8
"(669, 164, '0')",1,2101.0,2957.5,2980.3,2970.6,3009.0,2988.5,2977.1,2976.8,3034.9,3017.7,3091.6,2968.7,2873.7,2776.2,2751.9,2762.4,3019.8,3011.0,2407.4,2574.8,2516.7
"(3, 38, '0')",1,2001.0,1267.3,1275.2,1280.2,1287.3,1334.4,1348.1,1403.0,1418.9,1429.2,1437.0,1420.3,1375.3,1493.6,1500.5,1637.7,1589.2,1570.2,1447.6,1422.4,1430.7
"(3, 19, '0')",1,4807.0,4382.5,4373.4,4367.9,4360.3,4313.9,4302.4,4244.3,4241.5,4235.7,4226.9,4227.1,4306.9,4230.3,4231.6,4098.0,4078.5,4119.1,4267.1,4234.5,4244.8
"(4, 465, '0')",0,,5649.8,5648.5,5648.1,5647.6,5648.3,5650.4,5647.3,5660.4,5664.9,5663.8,5647.4,5682.2,5723.9,5732.2,5735.7,5667.7,5689.3,5714.8,5656.9,5675.5
"(361, 412, '0')",1,999.0,2175.4,2169.7,2168.0,2129.2,2148.9,2148.5,2141.2,2075.0,2090.8,2015.2,2149.6,2171.1,2245.9,2276.2,2263.5,2041.6,2072.1,2731.0,2591.1,2646.4
"(205, 412, '0')",1,999.0,3364.4,3370.2,3371.8,3410.7,3391.0,3391.5,3398.6,3465.3,3450.0,3526.3,3390.2,3368.7,3293.9,3263.6,3276.3,3499.3,3468.1,2808.8,2948.8,2893.5
"(473, 4, '0')",1,2364.5,1552.3,1541.5,1515.0,1519.1,1480.7,1493.9,1502.8,1487.5,1470.3,1477.2,1503.9,1595.1,1455.7,1369.7,1296.2,1281.4,1285.2,963.6,997.9,1032.4
"(252, 4, '0')",1,2444.0,4097.5,4107.1,4133.1,4128.6,4167.6,4156.5,4144.5,4172.9,4194.6,4186.6,4143.6,4087.1,4268.2,4362.5,4439.5,4386.3,4404.0,4751.2,4659.0,4643.1
"(5, 519, '0')",0,,105.2,104.1,106.6,150.2,159.1,171.1,169.6,202.9,218.6,188.5,172.6,285.2,508.5,311.5,289.7,255.2,289.1,4.8,0.5,0.2
"(5, 35, '0')",0,,1350.3,1382.9,1386.5,1387.5,1388.1,1400.3,1416.7,1362.7,1328.4,1351.1,1412.2,1275.9,1301.2,1007.1,1026.7,1547.5,1506.3,570.0,546.9,639.7
"(91, 35, '0')",0,,1267.9,1248.3,1202.8,1139.6,1017.0,909.6,858.0,898.9,958.6,990.9,859.3,1067.7,987.4,783.2,725.5,1660.3,1617.5,375.1,440.4,496.7
"(510, 35, '0')",0,,1328.9,1358.3,1336.4,1381.0,1397.2,1456.4,1448.3,1514.7,1578.0,1580.0,1440.9,1897.3,1992.7,2317.9,2397.9,2271.2,2320.4,3692.0,3417.3,3284.4
"(6, 539, '0')",0,,1317.1,1314.4,1302.3,1255.8,1281.2,1299.2,1282.4,1341.5,1358.3,1373.9,1298.2,1775.1,2003.0,2047.4,2081.8,2461.8,2517.0,2420.7,1913.6,1759.2
"(166, 539, '0')",0,,977.7,905.9,897.5,858.7,856.8,802.1,751.2,730.9,734.3,720.9,780.3,1151.7,1324.0,1426.0,1525.5,1659.8,1684.9,965.5,850.1,794.3
