key,speed_avg,speed_ref_sd,tt_sd_adj,speed_hist_avg,speed_sd,road_closures,tt_avg,median_inc,bus_stops,intersections,speed_cv,incidents,tt_cv,tt_sd,median_age,speed_hist_sd,tt_var,speed_ref_avg,tf
"(34, 1305, '0')",25.107,0.000,0,25.263,7.631,0.000,0.160,30.907,0,2,0.304,0,0.293,0.047,26.700,7.130,0.002,24.855,0.098
"(1304, 1305, '0')",22.991,0.000,0,26.751,7.733,0.000,0.576,30.907,1,4,0.336,0,0.316,0.182,26.700,5.962,0.033,29.826,0.082
"(34, 893, '0')",22.991,0.000,0,26.751,7.733,0.000,0.576,30.907,1,4,0.336,0,0.316,0.182,26.700,5.962,0.033,29.826,0.144
"(34, 1515, '0')",37.839,0.000,0,39.412,9.500,0.000,0.462,30.907,0,1,0.251,5,0.361,0.167,26.700,12.213,0.028,42.253,0.000
"(488, 486, '0')",28.797,0.000,0,33.981,10.583,0.000,0.476,42.500,0,1,0.368,1,0.425,0.203,36.500,8.431,0.041,26.719,0.297
"(464, 461, '0')",29.004,0.000,0,33.871,9.746,0.000,0.430,15.738,0,1,0.336,0,0.327,0.141,46.800,8.554,0.020,31.069,0.217
"(35, 130, '0')",22.758,0.000,0,23.942,6.342,0.000,0.304,30.907,0,6,0.279,2,0.267,0.081,26.700,5.192,0.007,19.884,0.311
"(35, 91, '0')",17.741,0.000,0,20.816,8.487,0.000,0.546,45.536,1,3,0.478,0,0.391,0.214,33.100,5.757,0.046,18.020,0.156
"(1306, 91, '0')",18.402,0.000,0,23.942,8.616,0.000,0.164,30.907,0,2,0.468,0,0.395,0.065,26.700,5.192,0.004,19.884,0.086
"(491, 493, '0')",32.072,0.000,0,33.295,10.254,0.000,0.450,42.205,0,2,0.320,0,0.327,0.147,21.100,9.340,0.022,37.904,0.128
"(477, 479, '0')",34.635,0.000,0,38.654,9.921,0.000,0.304,15.738,0,3,0.286,0,0.340,0.103,46.800,7.290,0.011,37.282,0.438
"(36, 498, '0')",17.360,0.000,0,19.256,7.352,0.000,0.557,41.694,0,1,0.423,0,0.466,0.259,33.600,6.461,0.067,21.748,0.092
"(36, 26, '0')",17.599,0.000,0,22.169,6.833,0.000,0.524,45.663,2,2,0.388,0,0.385,0.202,29.600,4.581,0.041,21.748,0.119
"(36, 40, '0')",18.751,0.000,0,20.000,6.691,0.000,0.424,45.663,0,4,0.357,0,0.371,0.157,29.600,3.833,0.025,21.748,0.155
"(495, 40, '0')",25.742,0.000,0,22.169,6.075,0.000,0.627,41.694,2,3,0.236,0,0.307,0.193,33.600,4.581,0.037,21.748,0.161
"(483, 484, '0')",25.000,0.000,0,25.000,0.000,0.000,0.424,42.500,0,0,0.000,0,0.000,0.000,36.500,0.000,0.000,25.000,0.424
"(452, 673, '0')",33.444,0.000,0,35.224,14.132,0.000,0.624,17.434,0,1,0.423,1,0.468,0.292,24.500,11.895,0.085,42.875,0.205
"(37, 225, '0')",21.405,0.000,0,21.263,5.103,0.000,0.745,15.738,1,3,0.238,0,0.292,0.217,46.800,4.238,0.047,21.748,0.111
