key,tt_sd,speed_ref_avg,speed_avg,speed_sd,tt_var,tt_cv,incidents,bus_stops,median_inc,median_age,intersections,tt_avg,speed_ref_sd,tt_sd_adj,speed_hist_sd,speed_hist_avg,road_closures,speed_cv,tf
"(77, 303, '0')",0.014,60.273,61.742,3.688,0.000,0.096,0,0,14.243,24.900,3,0.141,0.000,0,4.765,59.503,0.000,0.060,0.170
"(51, 64, '0')",0.012,57.166,59.496,3.719,0.000,0.065,1,0,66.653,34.400,1,0.181,0.000,0,2.935,55.665,0.000,0.063,0.324
"(147, 64, '0')",0.044,42.875,43.846,4.659,0.002,0.135,0,0,66.653,34.400,2,0.326,0.000,0,3.335,42.551,0.000,0.106,0.167
"(52, 12, '0')",0.023,67.729,69.056,2.069,0.001,0.031,0,0,24.432,39.300,16,0.737,0.000,0,2.354,66.694,0.000,0.030,0.589
"(65, 293, '0')",0.009,60.273,62.797,2.786,0.000,0.051,0,0,14.243,24.900,1,0.173,0.000,0,5.784,58.402,0.000,0.044,0.426
"(13, 2, '0')",0.000,60.000,60.000,0.000,0.000,0.000,0,0,14.243,24.900,0,0.470,0.000,0,0.000,60.000,0.000,0.000,0.470
"(1089, 1088, '0')",0.039,29.204,30.680,4.764,0.001,0.172,0,0,24.444,41.300,1,0.224,0.000,0,4.001,28.460,0.000,0.155,0.375
"(1062, 1088, '0')",0.055,37.282,37.256,6.016,0.003,0.173,2,0,24.444,41.300,4,0.321,0.000,0,6.156,34.428,0.000,0.161,0.087
"(640, 1089, '0')",0.010,64.001,66.953,1.934,0.000,0.040,4,0,24.444,41.300,3,0.236,0.000,0,1.885,63.153,0.000,0.029,0.324
"(640, 638, '0')",0.010,64.001,66.953,1.934,0.000,0.040,4,0,24.444,41.300,3,0.236,0.000,0,1.885,63.153,0.000,0.029,0.330
"(1088, 1094, '0')",0.034,27.962,26.415,4.259,0.001,0.260,0,0,24.444,41.300,5,0.130,0.000,0,3.475,26.368,0.000,0.161,0.276
"(1088, 1091, '0')",0.034,27.962,26.415,4.259,0.001,0.260,0,0,24.444,41.300,5,0.130,0.000,0,3.475,26.368,0.000,0.161,0.361
"(1062, 1091, '0')",0.034,27.962,26.415,4.259,0.001,0.260,0,0,36.042,24.600,5,0.130,0.000,0,3.475,26.368,0.000,0.161,0.114
"(1088, 1062, '0')",0.012,29.204,30.680,4.764,0.000,0.157,0,0,24.444,41.300,4,0.074,0.000,0,4.001,28.460,0.000,0.155,0.121
"(1083, 1062, '0')",0.055,37.282,37.256,6.016,0.003,0.173,2,0,36.042,24.600,4,0.321,0.000,0,6.156,34.428,0.000,0.161,0.126
"(1433, 1062, '0')",0.130,26.719,28.434,6.141,0.017,0.186,0,1,36.042,24.600,13,0.701,0.000,0,3.145,25.819,0.000,0.216,0.174
"(1097, 1101, '0')",0.061,37.282,34.266,5.604,0.004,0.180,3,0,36.042,24.600,3,0.336,0.000,0,3.644,36.234,0.000,0.164,0.162
"(1097, 1099, '0')",0.021,24.233,23.444,4.212,0.000,0.197,0,0,36.042,24.600,3,0.108,0.000,0,3.772,22.117,0.000,0.180,0.445
"(1084, 1099, '0')",0.021,24.233,23.444,4.212,0.000,0.197,0,0,36.042,24.600,3,0.108,0.000,0,3.772,22.117,0.000,0.180,0.160
"(1097, 1084, '0')",0.129,13.049,9.897,3.357,0.017,0.296,0,0,36.042,24.600,4,0.436,0.000,0,1.099,7.658,0.000,0.339,0.104
"(1086, 1084, '0')",0.106,19.263,14.745,5.707,0.011,0.348,0,0,36.042,24.600,4,0.305,0.000,0,4.531,12.466,0.000,0.387,0.116
"(1113, 1084, '0')",0.005,24.233,23.444,4.212,0.000,0.204,0,0,36.042,24.600,1,0.023,0.000,0,3.772,22.117,0.000,0.180,0.128
"(55, 0, '0')",0.515,39.768,40.978,11.500,0.265,0.897,0,0,93.828,31.100,1,0.574,0.000,0,3.552,38.687,0.000,0.281,0.155
"(55, 62, '0')",0.056,24.855,23.301,6.045,0.003,0.254,0,0,66.653,34.400,4,0.220,0.000,0,4.317,23.599,0.000,0.259,0.203
"(606, 59, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,30.907,26.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(883, 59, '0')",0.076,24.855,26.169,3.927,0.006,0.175,1,0,30.907,26.700,2,0.433,0.000,0,3.401,23.418,0.000,0.150,0.146
"(56, 70, '0')",0.044,42.875,43.846,4.659,0.002,0.135,0,0,93.828,31.100,2,0.326,0.000,0,3.335,42.551,0.000,0.106,0.251
"(59, 1501, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,30.907,26.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(59, 883, '0')",0.053,26.719,28.590,3.575,0.003,0.136,1,0,30.907,26.700,2,0.393,0.000,0,3.485,25.949,0.000,0.125,0.146
"(60, 883, '0')",0.076,24.855,26.169,3.927,0.006,0.175,1,0,30.907,26.700,2,0.433,0.000,0,3.401,23.418,0.000,0.150,0.146
"(841, 883, '0')",0.005,24.855,26.169,3.927,0.000,0.201,1,0,30.907,26.700,1,0.025,0.000,0,3.401,23.418,0.000,0.150,0.116
"(1284, 883, '0')",0.053,26.719,28.590,3.575,0.003,0.136,1,0,30.907,26.700,2,0.393,0.000,0,3.485,25.949,0.000,0.125,0.057
"(784, 777, '0')",0.040,24.855,26.104,3.410,0.002,0.151,0,0,39.191,28.700,1,0.265,0.000,0,4.081,23.255,0.000,0.131,0.268
"(787, 777, '0')",0.023,24.233,25.282,3.062,0.001,0.130,0,0,39.191,28.700,1,0.179,0.000,0,2.117,23.875,0.000,0.121,0.326
"(784, 785, '0')",0.004,21.748,19.813,2.727,0.000,0.195,0,0,39.191,28.700,0,0.023,0.000,0,2.049,20.249,0.000,0.138,0.280
"(366, 785, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,39.191,28.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(784, 786, '0')",0.015,24.233,25.282,3.062,0.000,0.131,0,0,39.191,28.700,0,0.117,0.000,0,2.117,23.875,0.000,0.121,0.076
"(364, 786, '0')",0.040,6.835,6.744,0.770,0.002,0.135,0,0,39.191,28.700,0,0.294,0.000,0,1.109,6.563,0.000,0.114,0.000
"(784, 775, '0')",0.092,18.020,19.120,2.226,0.009,0.102,0,4,39.191,28.700,2,0.903,0.000,0,2.555,18.452,0.000,0.116,0.610
