attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
k3,-0.539,"[-1.021, -0.058]",0.482,-2.236,0.029,5,0.900,252694677.629,0.144,0.000,-0.539,0,1,fp
k4,0.634,"[0.127, 1.142]",0.508,2.495,0.015,5,0.900,252694677.629,0.144,0.000,0.634,0,1,fp
k5,0.105,"[-0.554, 0.765]",0.659,0.319,0.751,5,0.900,252694677.629,0.144,0.000,0.105,0,0,fp
vot,0.148,,,,,5,0.900,252694677.629,0.144,0.167,-0.019,0,0,fn
tt,-1.054,"[-1.557, -0.55]",0.504,-4.176,0.000,5,1.100,179732276.516,0.154,-1.000,-0.054,0,0,fn
c,-5.926,"[-8.9, -2.951]",2.975,-3.976,0.000,5,1.100,179732276.516,0.154,-6.000,0.074,0,0,fn
s,-3.070,"[-4.594, -1.545]",1.524,-4.019,0.000,5,1.100,179732276.516,0.154,-3.000,-0.070,0,0,fn
k0,0.122,"[-0.719, 0.964]",0.842,0.290,0.773,5,1.100,179732276.516,0.154,0.000,0.122,0,0,fp
k1,-0.388,"[-1.0, 0.224]",0.612,-1.265,0.210,5,1.100,179732276.516,0.154,0.000,-0.388,0,0,fp
k2,0.082,"[-0.56, 0.724]",0.642,0.255,0.799,5,1.100,179732276.516,0.154,0.000,0.082,0,0,fp
k3,-0.140,"[-0.607, 0.328]",0.468,-0.596,0.553,5,1.100,179732276.516,0.154,0.000,-0.140,0,0,fp
k4,-0.065,"[-0.577, 0.448]",0.513,-0.252,0.802,5,1.100,179732276.516,0.154,0.000,-0.065,0,0,fp
k5,-0.380,"[-1.064, 0.304]",0.684,-1.109,0.271,5,1.100,179732276.516,0.154,0.000,-0.380,0,0,fp
vot,0.178,,,,,5,1.100,179732276.516,0.154,0.167,0.011,0,0,fn
tt,-1.816,"[-3.468, -0.164]",1.652,-2.194,0.032,5,1.200,314171984.817,0.216,-1.000,-0.816,0,0,fn
c,-9.334,"[-18.091, -0.578]",8.757,-2.128,0.037,5,1.200,314171984.817,0.216,-6.000,-3.334,0,0,fn
s,-5.018,"[-9.711, -0.325]",4.693,-2.134,0.036,5,1.200,314171984.817,0.216,-3.000,-2.018,0,0,fn
k0,0.443,"[-1.118, 2.004]",1.561,0.567,0.573,5,1.200,314171984.817,0.216,0.000,0.443,0,0,fp
k1,-0.545,"[-1.629, 0.539]",1.084,-1.003,0.319,5,1.200,314171984.817,0.216,0.000,-0.545,0,0,fp
k2,-0.044,"[-1.334, 1.247]",1.290,-0.068,0.946,5,1.200,314171984.817,0.216,0.000,-0.044,0,0,fp
k3,-0.026,"[-0.831, 0.779]",0.805,-0.064,0.949,5,1.200,314171984.817,0.216,0.000,-0.026,0,0,fp
k4,-0.485,"[-1.529, 0.559]",1.044,-0.928,0.357,5,1.200,314171984.817,0.216,0.000,-0.485,0,0,fp
k5,-0.428,"[-1.657, 0.801]",1.229,-0.695,0.490,5,1.200,314171984.817,0.216,0.000,-0.428,0,0,fp
vot,0.195,,,,,5,1.200,314171984.817,0.216,0.167,0.028,0,0,fn
tt,-0.174,"[-0.224, -0.123]",0.050,-6.870,0.000,6,0.800,472257653.034,0.181,-1.000,0.826,0,0,fn
c,-1.223,"[-1.674, -0.772]",0.451,-5.408,0.000,6,0.800,472257653.034,0.181,-6.000,4.777,0,0,fn
s,-0.502,"[-0.696, -0.309]",0.194,-5.180,0.000,6,0.800,472257653.034,0.181,-3.000,2.498,0,0,fn
k0,0.152,"[-0.101, 0.404]",0.252,1.199,0.235,6,0.800,472257653.034,0.181,0.000,0.152,0,0,fp
k1,0.235,"[-0.101, 0.571]",0.336,1.394,0.168,6,0.800,472257653.034,0.181,0.000,0.235,0,0,fp
k2,0.216,"[-0.051, 0.483]",0.267,1.614,0.111,6,0.800,472257653.034,0.181,0.000,0.216,0,0,fp
k3,-0.165,"[-0.448, 0.118]",0.283,-1.162,0.249,6,0.800,472257653.034,0.181,0.000,-0.165,0,0,fp
k4,0.180,"[-0.079, 0.439]",0.259,1.388,0.170,6,0.800,472257653.034,0.181,0.000,0.180,0,0,fp
k5,0.369,"[0.053, 0.685]",0.316,2.328,0.023,6,0.800,472257653.034,0.181,0.000,0.369,0,1,fp
vot,0.142,,,,,6,0.800,472257653.034,0.181,0.167,-0.025,0,0,fn
tt,-0.427,"[-0.592, -0.262]",0.165,-5.176,0.000,6,0.900,246379968.014,0.145,-1.000,0.573,0,0,fn
c,-2.879,"[-3.982, -1.776]",1.103,-5.210,0.000,6,0.900,246379968.014,0.145,-6.000,3.121,0,0,fn
s,-1.375,"[-1.91, -0.84]",0.535,-5.128,0.000,6,0.900,246379968.014,0.145,-3.000,1.625,0,0,fn
k0,0.057,"[-0.305, 0.42]",0.363,0.315,0.754,6,0.900,246379968.014,0.145,0.000,0.057,0,0,fp
k1,0.163,"[-0.255, 0.58]",0.417,0.778,0.439,6,0.900,246379968.014,0.145,0.000,0.163,0,0,fp
k2,0.152,"[-0.172, 0.475]",0.324,0.935,0.353,6,0.900,246379968.014,0.145,0.000,0.152,0,0,fp
k3,-0.032,"[-0.397, 0.333]",0.365,-0.174,0.862,6,0.900,246379968.014,0.145,0.000,-0.032,0,0,fp
k4,0.243,"[-0.143, 0.628]",0.385,1.257,0.213,6,0.900,246379968.014,0.145,0.000,0.243,0,0,fp
k5,0.270,"[-0.148, 0.687]",0.418,1.290,0.201,6,0.900,246379968.014,0.145,0.000,0.270,0,0,fp
