link_type,alpha,beta,tf,k,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_ids,id,rhoj,lane,ff_speed,length,inrix_id.1,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,road_closures,median_inc,median_age,incidents,bus_stops,intersections,tf_inrix,free_flow_speed,tt_sd_adj,speed_sd_length,speed_reliability,tt_avg_adj,median_inc_length,no_incidents,incident,no_bus_stops,bus_stop,no_intersections,intersection,low_inc,high_inc,reliable_tt,unreliable_tt,reliable_speed,unreliable_speed
LWRLK,0.150,4.000,0.281,2400.000,1,0.000,2400.000,0.281,65,1626749030.000,[601529],28,200.000,3,65,0.304,1626749030.000,0.993,1.000,0.996,0.516,72.700,0.109,0.037,0.279,0.000,0.026,0.000,0.037,0.000,0.123,0.377,0.150,0.000,0.111,0.251,1.211,0.013,0.063,0.828,0.004,0.028,0,1,1,0,0,1,1,0,0,1,1,0
LWRLK,0.150,4.000,2.113,2400.000,1,2097.000,2400.000,2.113,65,,[601541],29,180.000,2,65,2.289,,0.385,0.000,0.000,0.000,0.000,0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.575,0.521,0.000,0.000,0.000,2.113,1.083,0.000,0.000,0.000,1.000,1.000,1,0,1,0,1,0,0,1,0,1,0,1
LWRLK,0.150,4.000,0.146,1800.000,0,,1800.000,0.146,25,1626721540.000,[],30,180.000,1,25,0.061,1626721540.000,0.261,0.413,0.280,0.909,23.612,0.134,0.165,0.175,0.000,0.209,0.043,0.165,0.000,0.338,0.435,0.000,0.000,0.111,0.155,0.394,0.037,0.016,0.563,0.003,0.016,1,0,1,0,0,1,0,1,0,1,1,0
PQULK,0.150,4.000,0.000,4990000128.000,0,,inf,0.000,99999,,[],51,99999.000,1,99999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0
LWRLK,0.150,4.000,0.171,1800.000,0,,1800.000,0.171,45,1626721540.000,[],2813,200.000,3,45,0.128,1626721540.000,0.261,0.413,0.280,0.909,23.612,0.134,0.165,0.175,0.000,0.209,0.043,0.165,0.000,0.338,0.435,0.000,0.000,0.111,0.326,0.393,0.077,0.033,0.563,0.007,0.033,1,0,1,0,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,0.185,2400.000,0,,2400.000,0.185,65,1626686499.000,[],31,200.000,4,65,0.200,1626686499.000,0.970,0.963,0.954,0.292,71.458,0.119,0.043,0.366,0.000,0.016,0.000,0.043,0.000,0.235,0.392,0.000,0.000,0.444,0.168,1.190,0.010,0.045,0.824,0.003,0.036,1,0,1,0,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,1.815,2400.000,0,,2400.000,1.815,65,,[],32,180.000,2,65,1.966,,0.385,0.000,0.000,0.000,0.000,0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.323,0.482,0.000,0.000,0.000,1.815,1.083,0.000,0.000,0.000,0.859,0.482,1,0,1,0,1,0,0,1,0,1,0,1
LWRLK,0.150,4.000,0.084,2400.000,0,,2400.000,0.084,65,1626686499.000,[],33,200.000,3,65,0.091,1626686499.000,0.970,0.963,0.954,0.292,71.458,0.119,0.043,0.366,0.000,0.016,0.000,0.043,0.000,0.235,0.392,0.150,0.000,0.000,0.076,1.197,0.005,0.020,0.824,0.001,0.016,0,1,1,0,1,0,0,1,0,1,1,0
LWRLK,0.150,4.000,1.815,2400.000,0,,2400.000,1.815,65,,[],34,180.000,2,65,1.966,,0.385,0.000,0.000,0.000,0.000,0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.323,0.482,0.000,0.000,0.111,1.815,1.083,0.000,0.000,0.000,0.859,0.482,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.188,1800.000,0,,1800.000,0.188,40,449892027.000,[],35,200.000,5,40,0.125,449892027.000,0.377,0.440,0.347,0.409,33.554,0.188,0.187,0.315,0.000,0.093,0.008,0.187,0.000,0.559,0.612,0.025,0.250,0.111,0.224,0.558,0.060,0.044,0.655,0.005,0.053,0,1,0,1,0,1,0,1,0,1,0,1
