link_key,speed_hist_avg,inrix_id,tt_sd,bus_stops,speed_ref_sd,intersections,median_age,speed_avg,tt_avg,road_closures,tt_sd_adj,tt_var,speed_sd,incidents,tt_cv,speed_ref_avg,median_inc,pems_ids,speed_hist_sd,speed_max,speed_cv
"(715, 706, '0')",23.301,449897473.000,0.251,0,0.000,1,34.400,17.502,1.052,0.000,0,0.063,4.213,0,0.239,26.719,66.653,[],1.257,26.098,0.241
"(717, 706, '0')",20.039,441450989.000,0.095,0,0.000,1,34.400,31.690,0.833,0.000,0,0.009,3.341,0,0.114,34.175,66.653,[],1.799,37.282,0.105
"(729, 712, '0')",24.751,400072808.000,0.221,0,0.000,0,34.400,12.997,0.550,0.000,0,0.049,5.586,0,0.403,31.069,66.653,[],2.440,24.855,0.430
"(706, 712, '0')",23.301,400072807.000,0.104,0,0.000,1,34.400,17.347,0.215,0.000,0,0.011,5.484,0,0.485,26.719,66.653,[],1.257,23.612,0.316
"(70, 147, '0')",0.000,,0.000,0,0.000,0,31.100,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,93.828,"[601217, 601219]",0.000,0.000,0.000
"(18, 1303, '0')",22.007,429471495.000,0.035,0,0.000,1,33.100,17.036,0.174,0.000,0,0.001,3.439,0,0.203,29.826,45.536,[],0.619,22.991,0.202
"(34, 1303, '0')",19.004,429471496.000,0.027,0,0.000,2,26.700,17.709,0.210,0.000,0,0.001,2.464,1,0.130,24.855,30.907,[],0.619,22.991,0.139
"(18, 5, '0')",19.625,1626648707.000,0.048,0,0.000,7,33.100,14.809,0.422,0.000,0,0.002,1.754,8,0.114,22.991,45.536,[],0.320,18.641,0.118
"(150, 32, '0')",51.522,1626644298.000,0.240,0,0.000,0,46.000,30.137,0.568,0.000,0,0.058,12.848,3,0.422,32.933,24.821,[],3.676,55.302,0.426
"(150, 287, '0')",62.551,1626686788.000,0.010,0,0.000,0,46.000,68.817,0.190,0.000,0,0.000,1.592,3,0.055,65.865,24.821,[],0.552,70.836,0.023
"(560, 238, '0')",0.000,,0.000,0,0.000,0,46.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,24.821,[],0.000,0.000,0.000
"(19, 309, '0')",59.859,1626616333.000,0.004,0,0.000,0,29.900,64.001,0.278,0.000,0,0.000,0.918,1,0.014,63.380,39.750,"[601411, 602411]",0.612,65.244,0.014
"(135, 309, '0')",0.000,,0.000,0,0.000,0,39.300,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,24.432,[],0.000,0.000,0.000
"(558, 115, '0')",37.541,170160930.000,0.029,0,0.000,1,29.000,37.541,0.371,0.000,0,0.001,2.589,0,0.078,39.768,36.974,"[601218, 602218]",2.589,39.768,0.069
"(10, 1217, '0')",0.000,,0.000,0,0.000,1,28.700,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,39.191,[],0.000,0.000,0.000
"(1214, 1217, '0')",16.570,449891953.000,0.287,0,0.000,1,28.700,16.984,1.442,0.000,0,0.083,3.281,0,0.199,22.991,39.191,[],0.306,21.748,0.193
"(1216, 1217, '0')",15.327,1626721540.000,0.145,0,0.000,1,28.700,20.091,1.177,0.000,0,0.021,2.518,0,0.123,24.855,39.191,[],1.003,25.476,0.125
"(10, 1285, '0')",0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
"(127, 555, '0')",0.000,,0.000,0,0.000,0,29.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,36.974,[],0.000,0.000,0.000
"(1555, 1730, '0')",0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
"(22, 76, '0')",61.723,1626686518.000,0.003,0,0.000,0,25.900,65.089,0.221,0.000,0,0.000,0.996,3,0.013,62.137,27.250,[],0.612,66.487,0.015
"(23, 57, '0')",22.939,1626615706.000,0.013,0,0.000,5,34.400,26.408,0.229,0.000,0,0.000,1.767,0,0.057,27.962,66.653,[],1.388,29.826,0.067
"(23, 7, '0')",21.230,429471467.000,0.032,0,0.000,2,34.400,13.774,0.088,0.000,0,0.001,4.611,0,0.364,27.962,66.653,[],1.813,20.505,0.335
"(1554, 1729, '0')",0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
"(545, 557, '0')",0.000,,0.000,0,0.000,0,26.700,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,30.907,[],0.000,0.000,0.000
"(41, 548, '0')",26.771,1626691238.000,0.315,0,0.000,0,29.000,21.644,0.649,0.000,0,0.099,7.299,0,0.484,31.690,36.974,"[601417, 602417]",3.398,29.826,0.337
"(373, 668, '0')",15.068,400074037.000,0.026,0,0.000,0,29.300,15.068,0.152,0.000,0,0.001,3.682,0,0.168,29.204,20.750,[],3.682,24.233,0.244
"(30, 668, '0')",61.826,400421597.000,0.010,0,0.000,0,29.300,66.383,0.087,0.000,0,0.000,1.734,0,0.114,62.758,20.750,[],0.562,69.594,0.026
"(672, 551, '0')",31.017,1626744834.000,0.197,0,0.000,0,26.700,29.929,0.398,0.000,0,0.039,7.774,0,0.495,34.175,30.907,[],8.343,37.282,0.260
"(527, 524, '0')",27.910,1626661395.000,0.141,0,0.000,0,26.700,25.994,0.716,0.000,0,0.020,5.251,0,0.197,37.282,30.907,[],3.118,37.904,0.202
"(25, 27, '0')",18.227,1626738113.000,0.280,0,0.000,3,24.500,15.431,0.693,0.000,0,0.078,4.534,0,0.404,19.884,17.434,[],1.252,22.369,0.294
"(446, 27, '0')",0.000,,0.000,0,0.000,0,39.300,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,24.432,[],0.000,0.000,0.000
