link_key,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_id,link_type,id,rhoj,lane,ff_speed,length,alpha,beta,tf,k,pems_ids,inrix_id,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,tt_sd_adj,road_closures,median_inc,median_age,incidents,bus_stops,intersections,tf_inrix
"(561, 10, '0')",0,,inf,0.000,99999,,[],PQULK,51,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(1217, 1196, '0')",0,,1800.000,0.171,45,1626721540.000,[],LWRLK,2813,200.000,3,45,0.128,0.150,4.000,0.171,1800.000,[],1626721540.000,18.900,27.962,20.143,1.242,21.748,1.227,0.065,0.771,0.000,0.078,0.006,0.063,0,0.000,39.191,28.700,0.000,0.000,1.000,0.354
"(14, 414, '0')",0,,2400.000,0.185,65,1626686499.000,[],LWRLK,31,200.000,4,65,0.200,0.150,4.000,0.185,2400.000,[],1626686499.000,67.419,65.244,63.276,0.417,68.972,1.284,0.019,0.640,0.000,0.009,0.000,0.021,0,0.000,27.250,25.900,0.000,0.000,4.000,0.174
"(577, 580, '0')",0,,2400.000,1.815,65,,[],LWRLK,32,180.000,2,65,1.966,0.150,4.000,1.815,2400.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,37.414,31.779,0.000,0.000,0.000,1.815
"(15, 14, '0')",0,,2400.000,0.084,65,1626686499.000,[],LWRLK,33,200.000,3,65,0.091,0.150,4.000,0.084,2400.000,[],1626686499.000,67.419,65.244,63.276,0.417,68.972,1.284,0.019,0.640,0.000,0.009,0.000,0.021,0,0.000,27.250,25.900,6.000,0.000,0.000,0.079
"(579, 647, '0')",0,,2400.000,1.815,65,,[],LWRLK,34,180.000,2,65,1.966,0.150,4.000,1.815,2400.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,37.414,31.779,0.000,0.000,1.000,1.815
"(16, 221, '0')",0,,1800.000,0.188,40,449892027.000,[],LWRLK,35,200.000,5,40,0.125,0.150,4.000,0.188,1800.000,[],449892027.000,26.667,29.826,21.386,0.571,30.447,2.111,0.079,0.559,0.000,0.043,0.002,0.076,0,0.000,64.773,40.400,1.000,1.000,1.000,0.246
"(873, 221, '0')",0,,1800.000,0.180,40,441679086.000,[],LWRLK,2006,200.000,3,40,0.120,0.150,4.000,0.180,1800.000,[],441679086.000,23.923,24.855,23.457,0.139,27.340,2.362,0.099,1.678,0.000,0.014,0.000,0.099,0,0.000,64.773,40.400,1.000,0.000,2.000,0.263
"(904, 221, '0')",0,,1800.000,0.239,40,441679085.000,[],LWRLK,2087,200.000,4,40,0.159,0.150,4.000,0.239,1800.000,[],441679085.000,23.716,26.098,21.593,0.288,28.583,3.523,0.149,0.996,0.000,0.043,0.002,0.151,0,0.000,64.773,40.400,1.000,1.000,1.000,0.334
"(1308, 221, '0')",0,,1800.000,0.131,40,449892015.000,[],LWRLK,3012,200.000,5,40,0.087,0.150,4.000,0.131,1800.000,[],449892015.000,22.007,25.476,21.489,0.691,26.098,2.589,0.118,1.555,0.000,0.077,0.006,0.111,0,0.000,64.773,40.400,1.000,0.000,1.000,0.201
"(16, 895, '0')",0,,1800.000,0.596,40,449892015.000,[],LWRLK,36,200.000,3,40,0.397,0.150,4.000,0.596,1800.000,[],449892015.000,22.007,25.476,21.489,0.691,26.098,2.589,0.118,1.555,0.000,0.077,0.006,0.111,0,0.000,64.773,40.400,0.000,2.000,2.000,0.914
"(111, 895, '0')",0,,inf,0.000,99999,,[],PQULK,535,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(17, 1250, '0')",0,,1800.000,0.224,40,441679107.000,[],LWRLK,37,200.000,2,40,0.149,0.150,4.000,0.224,1800.000,[],441679107.000,26.305,26.719,21.437,0.211,31.690,2.206,0.084,0.726,0.000,0.017,0.000,0.082,0,0.000,67.240,34.200,0.000,1.000,0.000,0.282
"(1252, 1250, '0')",0,,1800.000,0.205,25,441679109.000,[],LWRLK,2895,200.000,1,25,0.085,0.150,4.000,0.205,1800.000,[],441679109.000,25.062,28.583,22.991,0.270,27.340,1.575,0.063,0.918,0.000,0.013,0.000,0.047,0,0.000,67.240,34.200,0.000,0.000,0.000,0.188
"(570, 1250, '0')",0,,inf,0.000,99999,,[],PQULK,4289,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(17, 6, '0')",0,,1800.000,0.209,40,1626728177.000,[],LWRLK,39,200.000,3,40,0.140,0.150,4.000,0.209,1800.000,[],1626728177.000,23.560,24.855,18.745,0.420,26.719,2.160,0.092,0.949,0.000,0.041,0.002,0.098,0,0.000,36.974,29.000,1.000,0.000,1.000,0.314
"(539, 6, '0')",0,,1800.000,0.216,40,1626698650.000,[],LWRLK,1290,200.000,2,40,0.144,0.150,4.000,0.216,1800.000,[],1626698650.000,15.431,19.884,14.602,0.670,16.777,1.020,0.066,1.487,0.000,0.039,0.001,0.058,0,0.000,36.974,29.000,0.000,0.000,2.000,0.514
"(17, 1275, '0')",0,,1800.000,0.268,40,441679103.000,[],LWRLK,40,200.000,2,40,0.179,0.150,4.000,0.268,1800.000,[],441679103.000,23.664,26.719,21.800,0.629,30.447,3.387,0.143,0.415,0.000,0.083,0.007,0.132,0,0.000,67.240,34.200,0.000,0.000,0.000,0.353
"(17, 213, '0')",0,,1800.000,0.223,40,441679106.000,[],LWRLK,42,200.000,2,40,0.149,0.150,4.000,0.223,1800.000,[],441679106.000,15.431,19.884,14.602,0.396,16.777,1.020,0.066,1.487,0.000,0.022,0.000,0.056,0,0.000,67.240,34.200,0.000,0.000,0.000,0.532
"(847, 213, '0')",0,,1800.000,0.438,40,1626687882.000,[],LWRLK,1954,200.000,2,40,0.292,0.150,4.000,0.438,1800.000,[],1626687882.000,29.412,29.826,21.541,0.752,33.554,2.024,0.069,1.165,0.000,0.049,0.002,0.065,0,0.000,67.240,34.200,0.000,0.000,5.000,0.522
"(712, 728, '0')",0,,1800.000,0.206,40,1626631223.000,[],LWRLK,38,180.000,2,40,0.137,0.150,4.000,0.206,1800.000,[],1626631223.000,40.130,39.768,39.354,0.322,42.253,1.107,0.028,0.552,0.000,0.009,0.000,0.027,0,0.000,66.653,34.400,0.000,0.000,0.000,0.195
"(712, 706, '0')",0,,1800.000,0.118,40,400072808.000,[],LWRLK,1646,200.000,5,40,0.078,0.150,4.000,0.118,1800.000,[],400072808.000,33.399,32.933,31.793,0.178,34.797,0.923,0.028,2.049,0.000,0.004,0.000,0.022,0,0.000,66.653,34.400,0.000,0.000,1.000,0.135
"(703, 706, '0')",0,,1800.000,0.183,45,441679177.000,[],LWRLK,1619,200.000,5,45,0.137,0.150,4.000,0.183,1800.000,[],441679177.000,28.738,31.069,25.580,0.493,32.933,2.105,0.073,1.020,0.000,0.036,0.001,0.073,0,0.000,66.653,34.400,0.000,0.000,1.000,0.249
"(715, 706, '0')",0,,1800.000,0.134,40,449897473.000,[],LWRLK,1649,200.000,5,40,0.089,0.150,4.000,0.134,1800.000,[],449897473.000,27.133,29.826,25.735,0.655,32.311,3.960,0.146,1.462,0.000,0.100,0.010,0.153,0,0.000,66.653,34.400,1.000,0.000,1.000,0.165
"(717, 706, '0')",0,,1800.000,0.163,50,441450989.000,[],LWRLK,1653,200.000,6,50,0.136,0.150,4.000,0.163,1800.000,[],441450989.000,30.240,37.282,28.894,0.868,32.933,1.507,0.050,1.076,0.000,0.047,0.002,0.054,0,0.000,66.653,34.400,0.000,0.000,1.000,0.247
"(729, 712, '0')",0,,1800.000,0.206,40,400072808.000,[],LWRLK,41,180.000,2,40,0.137,0.150,4.000,0.206,1800.000,[],400072808.000,33.399,32.933,31.793,0.178,34.797,0.923,0.028,2.049,0.000,0.004,0.000,0.022,0,0.000,66.653,34.400,0.000,0.000,0.000,0.236
