link_key,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_ids,link_type,id,rhoj,lane,ff_speed,length,alpha,beta,tf,k,inrix_id,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,road_closures,median_inc,median_age,incidents,bus_stops,intersections,tf_inrix
"(143, 579, '0')",1,2266.000,2400.000,2.113,65,,[601541],LWRLK,29,180.000,2,65,2.289,0.150,4.000,2.113,2400.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,0,0,0,2.113
"(1217, 10, '0')",0,,1800.000,0.146,25,1626721540,[],LWRLK,30,180.000,1,25,0.061,0.150,4.000,0.146,1800.000,1626721540.000,21.971,24.855,17.324,1.096,37.282,3.901,0.225,1.276,0.000,0.195,0.038,0.225,0.000,39.191,28.700,0,0,1,0.098
"(561, 10, '0')",0,,inf,0.000,99999,,[],PQULK,51,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000
"(1217, 1196, '0')",0,,1800.000,0.171,45,1626721540,[],LWRLK,2813,200.000,3,45,0.128,0.150,4.000,0.171,1800.000,1626721540.000,21.971,24.855,17.324,1.096,37.282,3.901,0.225,1.276,0.000,0.195,0.038,0.225,0.000,39.191,28.700,0,0,1,0.207
"(14, 414, '0')",0,,2400.000,0.185,65,1626686499,[],LWRLK,31,200.000,4,65,0.200,0.150,4.000,0.185,2400.000,1626686499.000,67.952,63.731,63.576,0.412,72.079,2.267,0.036,2.695,0.515,0.015,0.000,0.036,0.000,27.250,25.900,2,0,4,0.166
"(577, 580, '0')",0,,2400.000,1.815,65,,[],LWRLK,32,180.000,2,65,1.966,0.150,4.000,1.815,2400.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.414,31.779,0,0,0,1.815
"(15, 14, '0')",0,,2400.000,0.084,65,1626686499,[],LWRLK,33,200.000,3,65,0.091,0.150,4.000,0.084,2400.000,1626686499.000,67.952,63.731,63.576,0.412,72.079,2.267,0.036,2.695,0.515,0.015,0.000,0.036,0.000,27.250,25.900,6,0,0,0.076
"(579, 647, '0')",0,,2400.000,1.815,65,,[],LWRLK,34,180.000,2,65,1.966,0.150,4.000,1.815,2400.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.414,31.779,0,0,1,1.815
"(16, 221, '0')",0,,1800.000,0.188,40,449892027,[],LWRLK,35,200.000,5,40,0.125,0.150,4.000,0.188,1800.000,449892027.000,17.034,29.691,21.816,0.928,26.098,3.497,0.160,2.318,0.258,0.185,0.034,0.160,0.000,64.773,40.400,0,1,1,0.288
"(873, 221, '0')",0,,1800.000,0.180,40,441679086,[],LWRLK,2006,200.000,3,40,0.120,0.150,4.000,0.180,1800.000,441679086.000,10.969,24.450,20.228,0.337,24.855,3.909,0.193,1.578,0.773,0.101,0.010,0.193,0.000,64.773,40.400,0,0,2,0.289
"(904, 221, '0')",0,,1800.000,0.239,40,441679085,[],LWRLK,2087,200.000,4,40,0.159,0.150,4.000,0.239,1800.000,441679085.000,14.845,24.720,21.025,0.517,32.311,5.597,0.266,1.580,0.258,0.182,0.033,0.266,0.000,64.773,40.400,0,1,1,0.296
"(1308, 221, '0')",0,,1800.000,0.131,40,449892015,[],LWRLK,3012,200.000,5,40,0.087,0.150,4.000,0.131,1800.000,449892015.000,24.693,24.936,19.344,0.630,32.311,4.181,0.216,1.782,1.031,0.118,0.014,0.216,0.000,64.773,40.400,0,0,1,0.162
"(16, 895, '0')",0,,1800.000,0.596,40,449892015,[],LWRLK,36,200.000,3,40,0.397,0.150,4.000,0.596,1800.000,449892015.000,24.693,24.936,19.344,0.630,32.311,4.181,0.216,1.782,1.031,0.118,0.014,0.216,0.000,64.773,40.400,0,2,2,0.738
"(111, 895, '0')",0,,inf,0.000,99999,,[],PQULK,535,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000
"(17, 1250, '0')",0,,1800.000,0.224,40,441679107,[],LWRLK,37,200.000,2,40,0.149,0.150,4.000,0.224,1800.000,441679107.000,21.309,26.098,21.897,0.280,37.282,6.163,0.281,2.029,0.000,0.094,0.009,0.281,0.000,67.240,34.200,0,1,0,0.240
"(1252, 1250, '0')",0,,1800.000,0.205,25,441679109,[],LWRLK,2895,200.000,1,25,0.085,0.150,4.000,0.205,1800.000,441679109.000,25.902,27.556,21.944,0.277,37.904,6.085,0.277,3.030,0.773,0.078,0.006,0.277,0.000,67.240,34.200,0,0,0,0.135
"(570, 1250, '0')",0,,inf,0.000,99999,,[],PQULK,4289,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000
"(17, 6, '0')",0,,1800.000,0.209,40,1626728177,[],LWRLK,39,200.000,3,40,0.140,0.150,4.000,0.209,1800.000,1626728177.000,12.961,24.233,19.661,0.821,26.098,3.980,0.202,3.594,0.000,0.233,0.054,0.202,0.000,36.974,29.000,1,0,1,0.321
"(539, 6, '0')",0,,1800.000,0.216,40,1626698650,[],LWRLK,1290,200.000,2,40,0.144,0.150,4.000,0.216,1800.000,1626698650.000,14.771,19.749,13.994,0.739,26.098,3.685,0.263,1.712,0.258,0.223,0.050,0.263,0.000,36.974,29.000,0,0,2,0.331
"(17, 1275, '0')",0,,1800.000,0.268,40,441679103,[],LWRLK,40,200.000,2,40,0.179,0.150,4.000,0.268,1800.000,441679103.000,26.618,26.179,22.011,0.568,35.418,4.134,0.188,3.171,1.031,0.096,0.009,0.188,0.000,67.240,34.200,0,0,0,0.303
"(17, 213, '0')",0,,1800.000,0.223,40,441679106,[],LWRLK,42,200.000,2,40,0.149,0.150,4.000,0.223,1800.000,441679106.000,23.153,19.749,13.994,0.270,34.175,4.523,0.323,1.712,0.258,0.061,0.004,0.323,0.000,67.240,34.200,0,0,0,0.261
"(847, 213, '0')",0,,1800.000,0.438,40,1626687882,[],LWRLK,1954,200.000,2,40,0.292,0.150,4.000,0.438,1800.000,1626687882.000,29.920,30.798,20.863,0.749,36.661,3.761,0.180,4.649,0.515,0.110,0.012,0.180,0.000,67.240,34.200,0,0,5,0.478
